,meter_id,date,month,year,num_rdngs_dd,num_rdngs_mm,num_rdngs_yy,daily_mwh,monthly_mwh,yearly_mwh,num_gap_dd,num_gap_mm,num_gap_yy,season,num_days_mm,monthly_avg_mwh,weekday,num_wkdays_mm,num_wkends_mm,monthly_wkday_avg,monthly_wkend_avg
1562138,0xfff895258c21f1a58fc06538173d02b621021ad4,2017-01-11,1,2017,48.0,1440.0,16176.0,9.742,256.76200000000057,2560.9210000000144,0.0,48.0,1344.0,Winter,31,8.558733333333352,1.0,22.0,9.0,8.288000000000002,
1718042,0xfff895258c21f1a58fc06538173d02b621021ad4,2017-01-12,1,2017,48.0,1440.0,16176.0,11.066000000000004,256.76200000000057,2560.9210000000144,0.0,48.0,1344.0,Winter,31,8.558733333333352,1.0,22.0,9.0,8.288000000000002,
1873946,0xfff895258c21f1a58fc06538173d02b621021ad4,2017-01-13,1,2017,48.0,1440.0,16176.0,8.632,256.76200000000057,2560.9210000000144,0.0,48.0,1344.0,Winter,31,8.558733333333352,1.0,22.0,9.0,8.288000000000002,
2029850,0xfff895258c21f1a58fc06538173d02b621021ad4,2017-01-14,1,2017,48.0,1440.0,16176.0,9.490000000000002,256.76200000000057,2560.9210000000144,0.0,48.0,1344.0,Winter,31,8.558733333333352,0.0,22.0,9.0,,8.269555555555558
2185754,0xfff895258c21f1a58fc06538173d02b621021ad4,2017-01-15,1,2017,48.0,1440.0,16176.0,8.999,256.76200000000057,2560.9210000000144,0.0,48.0,1344.0,Winter,31,8.558733333333352,0.0,22.0,9.0,,8.269555555555558
2341658,0xfff895258c21f1a58fc06538173d02b621021ad4,2017-01-16,1,2017,48.0,1440.0,16176.0,7.847000000000001,256.76200000000057,2560.9210000000144,0.0,48.0,1344.0,Winter,31,8.558733333333352,1.0,22.0,9.0,8.288000000000002,
2497562,0xfff895258c21f1a58fc06538173d02b621021ad4,2017-01-17,1,2017,48.0,1440.0,16176.0,9.336999999999998,256.76200000000057,2560.9210000000144,0.0,48.0,1344.0,Winter,31,8.558733333333352,1.0,22.0,9.0,8.288000000000002,
2653466,0xfff895258c21f1a58fc06538173d02b621021ad4,2017-01-18,1,2017,48.0,1440.0,16176.0,8.091000000000001,256.76200000000057,2560.9210000000144,0.0,48.0,1344.0,Winter,31,8.558733333333352,1.0,22.0,9.0,8.288000000000002,
2809370,0xfff895258c21f1a58fc06538173d02b621021ad4,2017-01-19,1,2017,48.0,1440.0,16176.0,8.316,256.76200000000057,2560.9210000000144,0.0,48.0,1344.0,Winter,31,8.558733333333352,1.0,22.0,9.0,8.288000000000002,
2965274,0xfff895258c21f1a58fc06538173d02b621021ad4,2017-01-20,1,2017,48.0,1440.0,16176.0,10.495999999999997,256.76200000000057,2560.9210000000144,0.0,48.0,1344.0,Winter,31,8.558733333333352,1.0,22.0,9.0,8.288000000000002,
3121178,0xfff895258c21f1a58fc06538173d02b621021ad4,2017-01-21,1,2017,48.0,1440.0,16176.0,7.7620000000000005,256.76200000000057,2560.9210000000144,0.0,48.0,1344.0,Winter,31,8.558733333333352,0.0,22.0,9.0,,8.269555555555558
3277082,0xfff895258c21f1a58fc06538173d02b621021ad4,2017-01-22,1,2017,48.0,1440.0,16176.0,6.901000000000001,256.76200000000057,2560.9210000000144,0.0,48.0,1344.0,Winter,31,8.558733333333352,0.0,22.0,9.0,,8.269555555555558
3432986,0xfff895258c21f1a58fc06538173d02b621021ad4,2017-01-23,1,2017,48.0,1440.0,16176.0,7.052000000000002,256.76200000000057,2560.9210000000144,0.0,48.0,1344.0,Winter,31,8.558733333333352,1.0,22.0,9.0,8.288000000000002,
3588890,0xfff895258c21f1a58fc06538173d02b621021ad4,2017-01-24,1,2017,48.0,1440.0,16176.0,8.020000000000001,256.76200000000057,2560.9210000000144,0.0,48.0,1344.0,Winter,31,8.558733333333352,1.0,22.0,9.0,8.288000000000002,
3744794,0xfff895258c21f1a58fc06538173d02b621021ad4,2017-01-25,1,2017,48.0,1440.0,16176.0,8.33,256.76200000000057,2560.9210000000144,0.0,48.0,1344.0,Winter,31,8.558733333333352,1.0,22.0,9.0,8.288000000000002,
3900698,0xfff895258c21f1a58fc06538173d02b621021ad4,2017-01-26,1,2017,48.0,1440.0,16176.0,9.058,256.76200000000057,2560.9210000000144,0.0,48.0,1344.0,Winter,31,8.558733333333352,1.0,22.0,9.0,8.288000000000002,
4056602,0xfff895258c21f1a58fc06538173d02b621021ad4,2017-01-27,1,2017,48.0,1440.0,16176.0,9.016999999999998,256.76200000000057,2560.9210000000144,0.0,48.0,1344.0,Winter,31,8.558733333333352,1.0,22.0,9.0,8.288000000000002,
4212506,0xfff895258c21f1a58fc06538173d02b621021ad4,2017-01-28,1,2017,48.0,1440.0,16176.0,8.226,256.76200000000057,2560.9210000000144,0.0,48.0,1344.0,Winter,31,8.558733333333352,0.0,22.0,9.0,,8.269555555555558
4368410,0xfff895258c21f1a58fc06538173d02b621021ad4,2017-01-29,1,2017,48.0,1440.0,16176.0,10.345999999999997,256.76200000000057,2560.9210000000144,0.0,48.0,1344.0,Winter,31,8.558733333333352,0.0,22.0,9.0,,8.269555555555558
4524314,0xfff895258c21f1a58fc06538173d02b621021ad4,2017-01-30,1,2017,48.0,1440.0,16176.0,7.5790000000000015,256.76200000000057,2560.9210000000144,0.0,48.0,1344.0,Winter,31,8.558733333333352,1.0,22.0,9.0,8.288000000000002,
4680218,0xfff895258c21f1a58fc06538173d02b621021ad4,2017-01-31,1,2017,48.0,1440.0,16176.0,7.133000000000001,256.76200000000057,2560.9210000000144,0.0,48.0,1344.0,Winter,31,8.558733333333352,1.0,22.0,9.0,8.288000000000002,
4836122,0xfff895258c21f1a58fc06538173d02b621021ad4,2017-02-01,2,2017,48.0,1344.0,16176.0,7.451999999999998,215.09899999999982,2560.9210000000144,0.0,0.0,1344.0,Winter,28,7.682107142857137,1.0,20.0,8.0,7.675700000000001,
4992026,0xfff895258c21f1a58fc06538173d02b621021ad4,2017-02-02,2,2017,48.0,1344.0,16176.0,8.398,215.09899999999982,2560.9210000000144,0.0,0.0,1344.0,Winter,28,7.682107142857137,1.0,20.0,8.0,7.675700000000001,
5147930,0xfff895258c21f1a58fc06538173d02b621021ad4,2017-02-03,2,2017,48.0,1344.0,16176.0,7.390000000000001,215.09899999999982,2560.9210000000144,0.0,0.0,1344.0,Winter,28,7.682107142857137,1.0,20.0,8.0,7.675700000000001,
5303834,0xfff895258c21f1a58fc06538173d02b621021ad4,2017-02-04,2,2017,48.0,1344.0,16176.0,6.918000000000002,215.09899999999982,2560.9210000000144,0.0,0.0,1344.0,Winter,28,7.682107142857137,0.0,20.0,8.0,,7.698125
5459738,0xfff895258c21f1a58fc06538173d02b621021ad4,2017-02-05,2,2017,48.0,1344.0,16176.0,8.672999999999998,215.09899999999982,2560.9210000000144,0.0,0.0,1344.0,Winter,28,7.682107142857137,0.0,20.0,8.0,,7.698125
5615642,0xfff895258c21f1a58fc06538173d02b621021ad4,2017-02-06,2,2017,48.0,1344.0,16176.0,8.514,215.09899999999982,2560.9210000000144,0.0,0.0,1344.0,Winter,28,7.682107142857137,1.0,20.0,8.0,7.675700000000001,
5771546,0xfff895258c21f1a58fc06538173d02b621021ad4,2017-02-07,2,2017,48.0,1344.0,16176.0,8.164000000000001,215.09899999999982,2560.9210000000144,0.0,0.0,1344.0,Winter,28,7.682107142857137,1.0,20.0,8.0,7.675700000000001,
5927450,0xfff895258c21f1a58fc06538173d02b621021ad4,2017-02-08,2,2017,48.0,1344.0,16176.0,7.848999999999999,215.09899999999982,2560.9210000000144,0.0,0.0,1344.0,Winter,28,7.682107142857137,1.0,20.0,8.0,7.675700000000001,
6083354,0xfff895258c21f1a58fc06538173d02b621021ad4,2017-02-09,2,2017,48.0,1344.0,16176.0,6.974999999999999,215.09899999999982,2560.9210000000144,0.0,0.0,1344.0,Winter,28,7.682107142857137,1.0,20.0,8.0,7.675700000000001,
6239258,0xfff895258c21f1a58fc06538173d02b621021ad4,2017-02-10,2,2017,48.0,1344.0,16176.0,8.063999999999998,215.09899999999982,2560.9210000000144,0.0,0.0,1344.0,Winter,28,7.682107142857137,1.0,20.0,8.0,7.675700000000001,
6395162,0xfff895258c21f1a58fc06538173d02b621021ad4,2017-02-11,2,2017,48.0,1344.0,16176.0,7.791,215.09899999999982,2560.9210000000144,0.0,0.0,1344.0,Winter,28,7.682107142857137,0.0,20.0,8.0,,7.698125
6551066,0xfff895258c21f1a58fc06538173d02b621021ad4,2017-02-12,2,2017,48.0,1344.0,16176.0,8.014000000000001,215.09899999999982,2560.9210000000144,0.0,0.0,1344.0,Winter,28,7.682107142857137,0.0,20.0,8.0,,7.698125
6706970,0xfff895258c21f1a58fc06538173d02b621021ad4,2017-02-13,2,2017,48.0,1344.0,16176.0,6.929,215.09899999999982,2560.9210000000144,0.0,0.0,1344.0,Winter,28,7.682107142857137,1.0,20.0,8.0,7.675700000000001,
6862874,0xfff895258c21f1a58fc06538173d02b621021ad4,2017-02-14,2,2017,48.0,1344.0,16176.0,7.2319999999999975,215.09899999999982,2560.9210000000144,0.0,0.0,1344.0,Winter,28,7.682107142857137,1.0,20.0,8.0,7.675700000000001,
7018778,0xfff895258c21f1a58fc06538173d02b621021ad4,2017-02-15,2,2017,48.0,1344.0,16176.0,6.644999999999999,215.09899999999982,2560.9210000000144,0.0,0.0,1344.0,Winter,28,7.682107142857137,1.0,20.0,8.0,7.675700000000001,
7174682,0xfff895258c21f1a58fc06538173d02b621021ad4,2017-02-16,2,2017,48.0,1344.0,16176.0,8.023000000000001,215.09899999999982,2560.9210000000144,0.0,0.0,1344.0,Winter,28,7.682107142857137,1.0,20.0,8.0,7.675700000000001,
7330586,0xfff895258c21f1a58fc06538173d02b621021ad4,2017-02-17,2,2017,48.0,1344.0,16176.0,8.718999999999996,215.09899999999982,2560.9210000000144,0.0,0.0,1344.0,Winter,28,7.682107142857137,1.0,20.0,8.0,7.675700000000001,
7486490,0xfff895258c21f1a58fc06538173d02b621021ad4,2017-02-18,2,2017,48.0,1344.0,16176.0,7.9140000000000015,215.09899999999982,2560.9210000000144,0.0,0.0,1344.0,Winter,28,7.682107142857137,0.0,20.0,8.0,,7.698125
7642394,0xfff895258c21f1a58fc06538173d02b621021ad4,2017-02-19,2,2017,48.0,1344.0,16176.0,6.624,215.09899999999982,2560.9210000000144,0.0,0.0,1344.0,Winter,28,7.682107142857137,0.0,20.0,8.0,,7.698125
7798298,0xfff895258c21f1a58fc06538173d02b621021ad4,2017-02-20,2,2017,48.0,1344.0,16176.0,9.396,215.09899999999982,2560.9210000000144,0.0,0.0,1344.0,Winter,28,7.682107142857137,1.0,20.0,8.0,7.675700000000001,
7954202,0xfff895258c21f1a58fc06538173d02b621021ad4,2017-02-21,2,2017,48.0,1344.0,16176.0,7.941999999999998,215.09899999999982,2560.9210000000144,0.0,0.0,1344.0,Winter,28,7.682107142857137,1.0,20.0,8.0,7.675700000000001,
8110106,0xfff895258c21f1a58fc06538173d02b621021ad4,2017-02-22,2,2017,48.0,1344.0,16176.0,6.858000000000001,215.09899999999982,2560.9210000000144,0.0,0.0,1344.0,Winter,28,7.682107142857137,1.0,20.0,8.0,7.675700000000001,
8266010,0xfff895258c21f1a58fc06538173d02b621021ad4,2017-02-23,2,2017,48.0,1344.0,16176.0,7.398,215.09899999999982,2560.9210000000144,0.0,0.0,1344.0,Winter,28,7.682107142857137,1.0,20.0,8.0,7.675700000000001,
8421914,0xfff895258c21f1a58fc06538173d02b621021ad4,2017-02-24,2,2017,48.0,1344.0,16176.0,7.634000000000001,215.09899999999982,2560.9210000000144,0.0,0.0,1344.0,Winter,28,7.682107142857137,1.0,20.0,8.0,7.675700000000001,
8577818,0xfff895258c21f1a58fc06538173d02b621021ad4,2017-02-25,2,2017,48.0,1344.0,16176.0,8.396999999999998,215.09899999999982,2560.9210000000144,0.0,0.0,1344.0,Winter,28,7.682107142857137,0.0,20.0,8.0,,7.698125
8733722,0xfff895258c21f1a58fc06538173d02b621021ad4,2017-02-26,2,2017,48.0,1344.0,16176.0,7.254,215.09899999999982,2560.9210000000144,0.0,0.0,1344.0,Winter,28,7.682107142857137,0.0,20.0,8.0,,7.698125
8889626,0xfff895258c21f1a58fc06538173d02b621021ad4,2017-02-27,2,2017,48.0,1344.0,16176.0,6.884000000000002,215.09899999999982,2560.9210000000144,0.0,0.0,1344.0,Winter,28,7.682107142857137,1.0,20.0,8.0,7.675700000000001,
9045530,0xfff895258c21f1a58fc06538173d02b621021ad4,2017-02-28,2,2017,48.0,1344.0,16176.0,7.047999999999998,215.09899999999982,2560.9210000000144,0.0,0.0,1344.0,Winter,28,7.682107142857137,1.0,20.0,8.0,7.675700000000001,
9201434,0xfff895258c21f1a58fc06538173d02b621021ad4,2017-03-01,3,2017,48.0,1488.0,16176.0,6.812000000000001,232.26800000000017,2560.9210000000144,0.0,0.0,1344.0,Spring,31,7.492516129032263,1.0,23.0,8.0,7.443956521739131,
9357338,0xfff895258c21f1a58fc06538173d02b621021ad4,2017-03-02,3,2017,48.0,1488.0,16176.0,8.372999999999998,232.26800000000017,2560.9210000000144,0.0,0.0,1344.0,Spring,31,7.492516129032263,1.0,23.0,8.0,7.443956521739131,
9513242,0xfff895258c21f1a58fc06538173d02b621021ad4,2017-03-03,3,2017,48.0,1488.0,16176.0,7.860000000000001,232.26800000000017,2560.9210000000144,0.0,0.0,1344.0,Spring,31,7.492516129032263,1.0,23.0,8.0,7.443956521739131,
9669146,0xfff895258c21f1a58fc06538173d02b621021ad4,2017-03-04,3,2017,48.0,1488.0,16176.0,8.970000000000002,232.26800000000017,2560.9210000000144,0.0,0.0,1344.0,Spring,31,7.492516129032263,0.0,23.0,8.0,,7.632124999999999
9825050,0xfff895258c21f1a58fc06538173d02b621021ad4,2017-03-05,3,2017,48.0,1488.0,16176.0,6.742000000000001,232.26800000000017,2560.9210000000144,0.0,0.0,1344.0,Spring,31,7.492516129032263,0.0,23.0,8.0,,7.632124999999999
9980954,0xfff895258c21f1a58fc06538173d02b621021ad4,2017-03-06,3,2017,48.0,1488.0,16176.0,8.669000000000002,232.26800000000017,2560.9210000000144,0.0,0.0,1344.0,Spring,31,7.492516129032263,1.0,23.0,8.0,7.443956521739131,
10136858,0xfff895258c21f1a58fc06538173d02b621021ad4,2017-03-07,3,2017,48.0,1488.0,16176.0,8.238999999999999,232.26800000000017,2560.9210000000144,0.0,0.0,1344.0,Spring,31,7.492516129032263,1.0,23.0,8.0,7.443956521739131,
10292762,0xfff895258c21f1a58fc06538173d02b621021ad4,2017-03-08,3,2017,48.0,1488.0,16176.0,8.447000000000003,232.26800000000017,2560.9210000000144,0.0,0.0,1344.0,Spring,31,7.492516129032263,1.0,23.0,8.0,7.443956521739131,
10448666,0xfff895258c21f1a58fc06538173d02b621021ad4,2017-03-09,3,2017,48.0,1488.0,16176.0,6.575,232.26800000000017,2560.9210000000144,0.0,0.0,1344.0,Spring,31,7.492516129032263,1.0,23.0,8.0,7.443956521739131,
10604570,0xfff895258c21f1a58fc06538173d02b621021ad4,2017-03-10,3,2017,48.0,1488.0,16176.0,8.046,232.26800000000017,2560.9210000000144,0.0,0.0,1344.0,Spring,31,7.492516129032263,1.0,23.0,8.0,7.443956521739131,
10760474,0xfff895258c21f1a58fc06538173d02b621021ad4,2017-03-11,3,2017,48.0,1488.0,16176.0,9.116999999999999,232.26800000000017,2560.9210000000144,0.0,0.0,1344.0,Spring,31,7.492516129032263,0.0,23.0,8.0,,7.632124999999999
10916378,0xfff895258c21f1a58fc06538173d02b621021ad4,2017-03-12,3,2017,48.0,1488.0,16176.0,6.363,232.26800000000017,2560.9210000000144,0.0,0.0,1344.0,Spring,31,7.492516129032263,0.0,23.0,8.0,,7.632124999999999
11072282,0xfff895258c21f1a58fc06538173d02b621021ad4,2017-03-13,3,2017,48.0,1488.0,16176.0,6.627000000000002,232.26800000000017,2560.9210000000144,0.0,0.0,1344.0,Spring,31,7.492516129032263,1.0,23.0,8.0,7.443956521739131,
11228186,0xfff895258c21f1a58fc06538173d02b621021ad4,2017-03-14,3,2017,48.0,1488.0,16176.0,7.671,232.26800000000017,2560.9210000000144,0.0,0.0,1344.0,Spring,31,7.492516129032263,1.0,23.0,8.0,7.443956521739131,
11384090,0xfff895258c21f1a58fc06538173d02b621021ad4,2017-03-15,3,2017,48.0,1488.0,16176.0,6.2379999999999995,232.26800000000017,2560.9210000000144,0.0,0.0,1344.0,Spring,31,7.492516129032263,1.0,23.0,8.0,7.443956521739131,
11539994,0xfff895258c21f1a58fc06538173d02b621021ad4,2017-03-16,3,2017,48.0,1488.0,16176.0,8.595,232.26800000000017,2560.9210000000144,0.0,0.0,1344.0,Spring,31,7.492516129032263,1.0,23.0,8.0,7.443956521739131,
11695898,0xfff895258c21f1a58fc06538173d02b621021ad4,2017-03-17,3,2017,48.0,1488.0,16176.0,6.877,232.26800000000017,2560.9210000000144,0.0,0.0,1344.0,Spring,31,7.492516129032263,1.0,23.0,8.0,7.443956521739131,
11851802,0xfff895258c21f1a58fc06538173d02b621021ad4,2017-03-18,3,2017,48.0,1488.0,16176.0,10.190999999999999,232.26800000000017,2560.9210000000144,0.0,0.0,1344.0,Spring,31,7.492516129032263,0.0,23.0,8.0,,7.632124999999999
12007706,0xfff895258c21f1a58fc06538173d02b621021ad4,2017-03-19,3,2017,48.0,1488.0,16176.0,7.195000000000001,232.26800000000017,2560.9210000000144,0.0,0.0,1344.0,Spring,31,7.492516129032263,0.0,23.0,8.0,,7.632124999999999
12163610,0xfff895258c21f1a58fc06538173d02b621021ad4,2017-03-20,3,2017,48.0,1488.0,16176.0,6.926000000000002,232.26800000000017,2560.9210000000144,0.0,0.0,1344.0,Spring,31,7.492516129032263,1.0,23.0,8.0,7.443956521739131,
12319514,0xfff895258c21f1a58fc06538173d02b621021ad4,2017-03-21,3,2017,48.0,1488.0,16176.0,6.743,232.26800000000017,2560.9210000000144,0.0,0.0,1344.0,Spring,31,7.492516129032263,1.0,23.0,8.0,7.443956521739131,
12475418,0xfff895258c21f1a58fc06538173d02b621021ad4,2017-03-22,3,2017,48.0,1488.0,16176.0,7.7829999999999995,232.26800000000017,2560.9210000000144,0.0,0.0,1344.0,Spring,31,7.492516129032263,1.0,23.0,8.0,7.443956521739131,
12631322,0xfff895258c21f1a58fc06538173d02b621021ad4,2017-03-23,3,2017,48.0,1488.0,16176.0,7.319,232.26800000000017,2560.9210000000144,0.0,0.0,1344.0,Spring,31,7.492516129032263,1.0,23.0,8.0,7.443956521739131,
12787226,0xfff895258c21f1a58fc06538173d02b621021ad4,2017-03-24,3,2017,48.0,1488.0,16176.0,8.142999999999999,232.26800000000017,2560.9210000000144,0.0,0.0,1344.0,Spring,31,7.492516129032263,1.0,23.0,8.0,7.443956521739131,
12943130,0xfff895258c21f1a58fc06538173d02b621021ad4,2017-03-25,3,2017,48.0,1488.0,16176.0,7.015000000000001,232.26800000000017,2560.9210000000144,0.0,0.0,1344.0,Spring,31,7.492516129032263,0.0,23.0,8.0,,7.632124999999999
13099034,0xfff895258c21f1a58fc06538173d02b621021ad4,2017-03-26,3,2017,48.0,1488.0,16176.0,5.464000000000001,232.26800000000017,2560.9210000000144,0.0,0.0,1344.0,Spring,31,7.492516129032263,0.0,23.0,8.0,,7.632124999999999
13254938,0xfff895258c21f1a58fc06538173d02b621021ad4,2017-03-27,3,2017,48.0,1488.0,16176.0,6.395,232.26800000000017,2560.9210000000144,0.0,0.0,1344.0,Spring,31,7.492516129032263,1.0,23.0,8.0,7.443956521739131,
13410842,0xfff895258c21f1a58fc06538173d02b621021ad4,2017-03-28,3,2017,48.0,1488.0,16176.0,7.083999999999999,232.26800000000017,2560.9210000000144,0.0,0.0,1344.0,Spring,31,7.492516129032263,1.0,23.0,8.0,7.443956521739131,
13566746,0xfff895258c21f1a58fc06538173d02b621021ad4,2017-03-29,3,2017,48.0,1488.0,16176.0,7.156000000000001,232.26800000000017,2560.9210000000144,0.0,0.0,1344.0,Spring,31,7.492516129032263,1.0,23.0,8.0,7.443956521739131,
13722650,0xfff895258c21f1a58fc06538173d02b621021ad4,2017-03-30,3,2017,48.0,1488.0,16176.0,6.746999999999999,232.26800000000017,2560.9210000000144,0.0,0.0,1344.0,Spring,31,7.492516129032263,1.0,23.0,8.0,7.443956521739131,
13878554,0xfff895258c21f1a58fc06538173d02b621021ad4,2017-03-31,3,2017,48.0,1488.0,16176.0,7.886,232.26800000000017,2560.9210000000144,0.0,0.0,1344.0,Spring,31,7.492516129032263,1.0,23.0,8.0,7.443956521739131,
14034458,0xfff895258c21f1a58fc06538173d02b621021ad4,2017-04-01,4,2017,48.0,1440.0,16176.0,5.006,212.2960000000001,2560.9210000000144,0.0,0.0,1344.0,Spring,30,7.076533333333337,0.0,20.0,10.0,,7.5128
14190362,0xfff895258c21f1a58fc06538173d02b621021ad4,2017-04-02,4,2017,48.0,1440.0,16176.0,5.149000000000002,212.2960000000001,2560.9210000000144,0.0,0.0,1344.0,Spring,30,7.076533333333337,0.0,20.0,10.0,,7.5128
14346266,0xfff895258c21f1a58fc06538173d02b621021ad4,2017-04-03,4,2017,48.0,1440.0,16176.0,7.273,212.2960000000001,2560.9210000000144,0.0,0.0,1344.0,Spring,30,7.076533333333337,1.0,20.0,10.0,6.858399999999999,
14502170,0xfff895258c21f1a58fc06538173d02b621021ad4,2017-04-04,4,2017,48.0,1440.0,16176.0,6.598,212.2960000000001,2560.9210000000144,0.0,0.0,1344.0,Spring,30,7.076533333333337,1.0,20.0,10.0,6.858399999999999,
14658074,0xfff895258c21f1a58fc06538173d02b621021ad4,2017-04-05,4,2017,48.0,1440.0,16176.0,7.0420000000000025,212.2960000000001,2560.9210000000144,0.0,0.0,1344.0,Spring,30,7.076533333333337,1.0,20.0,10.0,6.858399999999999,
14813978,0xfff895258c21f1a58fc06538173d02b621021ad4,2017-04-06,4,2017,48.0,1440.0,16176.0,5.865,212.2960000000001,2560.9210000000144,0.0,0.0,1344.0,Spring,30,7.076533333333337,1.0,20.0,10.0,6.858399999999999,
14969882,0xfff895258c21f1a58fc06538173d02b621021ad4,2017-04-07,4,2017,48.0,1440.0,16176.0,8.146,212.2960000000001,2560.9210000000144,0.0,0.0,1344.0,Spring,30,7.076533333333337,1.0,20.0,10.0,6.858399999999999,
15125786,0xfff895258c21f1a58fc06538173d02b621021ad4,2017-04-08,4,2017,48.0,1440.0,16176.0,6.852000000000001,212.2960000000001,2560.9210000000144,0.0,0.0,1344.0,Spring,30,7.076533333333337,0.0,20.0,10.0,,7.5128
15281690,0xfff895258c21f1a58fc06538173d02b621021ad4,2017-04-09,4,2017,48.0,1440.0,16176.0,9.109,212.2960000000001,2560.9210000000144,0.0,0.0,1344.0,Spring,30,7.076533333333337,0.0,20.0,10.0,,7.5128
15437594,0xfff895258c21f1a58fc06538173d02b621021ad4,2017-04-10,4,2017,48.0,1440.0,16176.0,6.754999999999999,212.2960000000001,2560.9210000000144,0.0,0.0,1344.0,Spring,30,7.076533333333337,1.0,20.0,10.0,6.858399999999999,
15593498,0xfff895258c21f1a58fc06538173d02b621021ad4,2017-04-11,4,2017,48.0,1440.0,16176.0,6.5729999999999995,212.2960000000001,2560.9210000000144,0.0,0.0,1344.0,Spring,30,7.076533333333337,1.0,20.0,10.0,6.858399999999999,
15749402,0xfff895258c21f1a58fc06538173d02b621021ad4,2017-04-12,4,2017,48.0,1440.0,16176.0,7.158999999999998,212.2960000000001,2560.9210000000144,0.0,0.0,1344.0,Spring,30,7.076533333333337,1.0,20.0,10.0,6.858399999999999,
15905306,0xfff895258c21f1a58fc06538173d02b621021ad4,2017-04-13,4,2017,48.0,1440.0,16176.0,6.044000000000001,212.2960000000001,2560.9210000000144,0.0,0.0,1344.0,Spring,30,7.076533333333337,1.0,20.0,10.0,6.858399999999999,
16061210,0xfff895258c21f1a58fc06538173d02b621021ad4,2017-04-14,4,2017,48.0,1440.0,16176.0,6.734999999999999,212.2960000000001,2560.9210000000144,0.0,0.0,1344.0,Spring,30,7.076533333333337,1.0,20.0,10.0,6.858399999999999,
16217114,0xfff895258c21f1a58fc06538173d02b621021ad4,2017-04-15,4,2017,48.0,1440.0,16176.0,7.423000000000001,212.2960000000001,2560.9210000000144,0.0,0.0,1344.0,Spring,30,7.076533333333337,0.0,20.0,10.0,,7.5128
16373018,0xfff895258c21f1a58fc06538173d02b621021ad4,2017-04-16,4,2017,48.0,1440.0,16176.0,10.276000000000002,212.2960000000001,2560.9210000000144,0.0,0.0,1344.0,Spring,30,7.076533333333337,0.0,20.0,10.0,,7.5128
16528922,0xfff895258c21f1a58fc06538173d02b621021ad4,2017-04-17,4,2017,48.0,1440.0,16176.0,6.794,212.2960000000001,2560.9210000000144,0.0,0.0,1344.0,Spring,30,7.076533333333337,1.0,20.0,10.0,6.858399999999999,
